retrieved_at,car_park,occupied,vacant,total_occupied,total_vacant
2026-07-12 14:44:24,B,986,94,7745,1499
2026-07-12 14:44:24,F,1305,241,7745,1499
2026-07-12 14:44:24,E,1130,215,7745,1499
2026-07-12 14:44:24,A,2605,620,7745,1499
2026-07-12 14:44:24,C,1719,329,7745,1499
2026-07-12 15:13:59,B,994,86,7791,1453
2026-07-12 15:13:59,F,1293,253,7791,1453
2026-07-12 15:13:59,E,1142,203,7791,1453
2026-07-12 15:13:59,A,2648,577,7791,1453
2026-07-12 15:13:59,C,1714,334,7791,1453
2026-07-12 18:01:35,B,972,108,5374,3870
2026-07-12 18:01:35,F,1034,512,5374,3870
2026-07-12 18:01:35,E,807,538,5374,3870
2026-07-12 18:01:35,A,1360,1865,5374,3870
2026-07-12 18:01:35,C,1201,847,5374,3870
2026-07-12 19:18:45,B,599,481,2523,6721
2026-07-12 19:18:45,F,478,1068,2523,6721
2026-07-12 19:18:45,E,402,943,2523,6721
2026-07-12 19:18:45,A,489,2736,2523,6721
2026-07-12 19:18:45,C,555,1493,2523,6721
2026-07-12 19:22:38,B,571,509,2365,6879
2026-07-12 19:22:38,F,453,1093,2365,6879
2026-07-12 19:22:38,E,374,971,2365,6879
2026-07-12 19:22:38,A,449,2776,2365,6879
2026-07-12 19:22:38,C,518,1530,2365,6879
2026-07-12 20:18:35,B,317,763,1167,8077
2026-07-12 20:18:35,F,248,1298,1167,8077
2026-07-12 20:18:35,E,176,1169,1167,8077
2026-07-12 20:18:35,A,180,3045,1167,8077
2026-07-12 20:18:35,C,246,1802,1167,8077
2026-07-12 20:30:39,B,286,794,1039,8205
2026-07-12 20:30:39,F,228,1318,1039,8205
2026-07-12 20:30:39,E,154,1191,1039,8205
2026-07-12 20:30:39,A,162,3063,1039,8205
2026-07-12 20:30:39,C,209,1839,1039,8205
2026-07-12 20:48:40,B,240,840,890,8354
2026-07-12 20:48:40,F,197,1349,890,8354
2026-07-12 20:48:40,E,134,1211,890,8354
2026-07-12 20:48:40,A,138,3087,890,8354
2026-07-12 20:48:40,C,181,1867,890,8354
2026-07-12 21:00:44,B,235,845,836,8408
2026-07-12 21:00:44,F,189,1357,836,8408
2026-07-12 21:00:44,E,122,1223,836,8408
2026-07-12 21:00:44,A,127,3098,836,8408
2026-07-12 21:00:44,C,163,1885,836,8408
2026-07-12 21:30:38,B,187,893,679,8565
2026-07-12 21:30:38,F,165,1381,679,8565
2026-07-12 21:30:38,E,91,1254,679,8565
2026-07-12 21:30:38,A,105,3120,679,8565
2026-07-12 21:30:38,C,131,1917,679,8565
2026-07-12 21:48:35,B,169,911,592,8652
2026-07-12 21:48:35,F,144,1402,592,8652
2026-07-12 21:48:35,E,79,1266,592,8652
2026-07-12 21:48:35,A,87,3138,592,8652
2026-07-12 21:48:35,C,113,1935,592,8652
2026-07-12 22:00:45,B,167,913,573,8671
2026-07-12 22:00:45,F,142,1404,573,8671
2026-07-12 22:00:45,E,72,1273,573,8671
2026-07-12 22:00:45,A,82,3143,573,8671
2026-07-12 22:00:45,C,110,1938,573,8671
2026-07-12 22:30:36,B,158,922,514,8730
2026-07-12 22:30:36,F,125,1421,514,8730
2026-07-12 22:30:36,E,63,1282,514,8730
2026-07-12 22:30:36,A,73,3152,514,8730
2026-07-12 22:30:36,C,95,1953,514,8730
2026-07-12 22:44:46,B,148,932,492,8752
2026-07-12 22:44:46,F,122,1424,492,8752
2026-07-12 22:44:46,E,59,1286,492,8752
2026-07-12 22:44:46,A,73,3152,492,8752
2026-07-12 22:44:46,C,90,1958,492,8752
2026-07-12 23:00:43,B,141,939,483,8761
2026-07-12 23:00:43,F,123,1423,483,8761
2026-07-12 23:00:43,E,59,1286,483,8761
2026-07-12 23:00:43,A,72,3153,483,8761
2026-07-12 23:00:43,C,88,1960,483,8761
2026-07-12 23:30:39,B,117,963,443,8801
2026-07-12 23:30:39,F,121,1425,443,8801
2026-07-12 23:30:39,E,54,1291,443,8801
2026-07-12 23:30:39,A,70,3155,443,8801
2026-07-12 23:30:39,C,81,1967,443,8801
2026-07-13 00:00:45,B,97,983,429,8815
2026-07-13 00:00:45,F,121,1425,429,8815
2026-07-13 00:00:45,E,50,1295,429,8815
2026-07-13 00:00:45,A,68,3157,429,8815
2026-07-13 00:00:45,C,93,1955,429,8815
2026-07-13 00:19:57,B,71,1009,402,8842
2026-07-13 00:19:57,F,127,1419,402,8842
2026-07-13 00:19:57,E,49,1296,402,8842
2026-07-13 00:19:57,A,67,3158,402,8842
2026-07-13 00:19:57,C,88,1960,402,8842
2026-07-13 00:30:41,B,68,1012,401,8843
2026-07-13 00:30:41,F,127,1419,401,8843
2026-07-13 00:30:41,E,50,1295,401,8843
2026-07-13 00:30:41,A,67,3158,401,8843
2026-07-13 00:30:41,C,89,1959,401,8843
2026-07-13 01:00:44,B,53,1027,379,8865
2026-07-13 01:00:44,F,125,1421,379,8865
2026-07-13 01:00:44,E,47,1298,379,8865
2026-07-13 01:00:44,A,63,3162,379,8865
2026-07-13 01:00:44,C,91,1957,379,8865
2026-07-13 01:30:04,B,49,1031,372,8872
2026-07-13 01:30:04,F,124,1422,372,8872
2026-07-13 01:30:04,E,47,1298,372,8872
2026-07-13 01:30:04,A,63,3162,372,8872
2026-07-13 01:30:04,C,89,1959,372,8872
2026-07-13 01:30:38,B,49,1031,372,8872
2026-07-13 01:30:38,F,124,1422,372,8872
2026-07-13 01:30:38,E,47,1298,372,8872
2026-07-13 01:30:38,A,63,3162,372,8872
2026-07-13 01:30:38,C,89,1959,372,8872
2026-07-13 02:00:46,B,49,1031,371,8873
2026-07-13 02:00:46,F,124,1422,371,8873
2026-07-13 02:00:46,E,48,1297,371,8873
2026-07-13 02:00:46,A,62,3163,371,8873
2026-07-13 02:00:46,C,88,1960,371,8873
2026-07-13 02:27:26,B,49,1031,372,8872
2026-07-13 02:27:26,F,124,1422,372,8872
2026-07-13 02:27:26,E,48,1297,372,8872
2026-07-13 02:27:26,A,62,3163,372,8872
2026-07-13 02:27:26,C,89,1959,372,8872
2026-07-13 02:30:40,B,49,1031,371,8873
2026-07-13 02:30:40,F,124,1422,371,8873
2026-07-13 02:30:40,E,48,1297,371,8873
2026-07-13 02:30:40,A,62,3163,371,8873
2026-07-13 02:30:40,C,88,1960,371,8873
2026-07-13 03:00:45,B,49,1031,374,8870
2026-07-13 03:00:45,F,123,1423,374,8870
2026-07-13 03:00:45,E,49,1296,374,8870
2026-07-13 03:00:45,A,62,3163,374,8870
2026-07-13 03:00:45,C,91,1957,374,8870
2026-07-13 03:30:40,B,49,1031,371,8873
2026-07-13 03:30:40,F,123,1423,371,8873
2026-07-13 03:30:40,E,48,1297,371,8873
2026-07-13 03:30:40,A,62,3163,371,8873
2026-07-13 03:30:40,C,89,1959,371,8873
2026-07-13 04:00:45,B,50,1030,373,8871
2026-07-13 04:00:45,F,124,1422,373,8871
2026-07-13 04:00:45,E,47,1298,373,8871
2026-07-13 04:00:45,A,62,3163,373,8871
2026-07-13 04:00:45,C,90,1958,373,8871
2026-07-13 04:30:41,B,50,1030,375,8869
2026-07-13 04:30:41,F,126,1420,375,8869
2026-07-13 04:30:41,E,48,1297,375,8869
2026-07-13 04:30:41,A,62,3163,375,8869
2026-07-13 04:30:41,C,89,1959,375,8869
2026-07-13 04:43:10,B,49,1031,374,8870
2026-07-13 04:43:10,F,125,1421,374,8870
2026-07-13 04:43:10,E,48,1297,374,8870
2026-07-13 04:43:10,A,62,3163,374,8870
2026-07-13 04:43:10,C,90,1958,374,8870
2026-07-13 05:00:47,B,50,1030,383,8861
2026-07-13 05:00:47,F,128,1418,383,8861
2026-07-13 05:00:47,E,48,1297,383,8861
2026-07-13 05:00:47,A,66,3159,383,8861
2026-07-13 05:00:47,C,91,1957,383,8861
2026-07-13 05:30:40,B,51,1029,397,8847
2026-07-13 05:30:40,F,134,1412,397,8847
2026-07-13 05:30:40,E,49,1296,397,8847
2026-07-13 05:30:40,A,68,3157,397,8847
2026-07-13 05:30:40,C,95,1953,397,8847
2026-07-13 05:58:08,B,49,1031,451,8793
2026-07-13 05:58:08,F,161,1385,451,8793
2026-07-13 05:58:08,E,58,1287,451,8793
2026-07-13 05:58:08,A,71,3154,451,8793
2026-07-13 05:58:08,C,112,1936,451,8793
2026-07-13 06:01:11,B,49,1031,460,8784
2026-07-13 06:01:11,F,164,1382,460,8784
2026-07-13 06:01:11,E,61,1284,460,8784
2026-07-13 06:01:11,A,73,3152,460,8784
2026-07-13 06:01:11,C,113,1935,460,8784
2026-07-13 06:30:45,B,48,1032,509,8735
2026-07-13 06:30:45,F,184,1362,509,8735
2026-07-13 06:30:45,E,71,1274,509,8735
2026-07-13 06:30:45,A,79,3146,509,8735
2026-07-13 06:30:45,C,127,1921,509,8735
2026-07-13 06:38:50,B,49,1031,522,8722
2026-07-13 06:38:50,F,192,1354,522,8722
2026-07-13 06:38:50,E,72,1273,522,8722
2026-07-13 06:38:50,A,79,3146,522,8722
2026-07-13 06:38:50,C,130,1918,522,8722
2026-07-13 07:00:49,B,49,1031,701,8543
2026-07-13 07:00:49,F,235,1311,701,8543
2026-07-13 07:00:49,E,95,1250,701,8543
2026-07-13 07:00:49,A,129,3096,701,8543
2026-07-13 07:00:49,C,193,1855,701,8543
2026-07-13 07:30:42,B,50,1030,884,8360
2026-07-13 07:30:42,F,266,1280,884,8360
2026-07-13 07:30:42,E,124,1221,884,8360
2026-07-13 07:30:42,A,166,3059,884,8360
2026-07-13 07:30:42,C,278,1770,884,8360
2026-07-13 07:35:48,B,49,1031,918,8326
2026-07-13 07:35:48,F,274,1272,918,8326
2026-07-13 07:35:48,E,132,1213,918,8326
2026-07-13 07:35:48,A,166,3059,918,8326
2026-07-13 07:35:48,C,297,1751,918,8326
2026-07-13 08:00:50,B,48,1032,1181,8063
2026-07-13 08:00:50,F,332,1214,1181,8063
2026-07-13 08:00:50,E,198,1147,1181,8063
2026-07-13 08:00:50,A,198,3027,1181,8063
2026-07-13 08:00:50,C,405,1643,1181,8063
2026-07-13 08:30:45,B,47,1033,1640,7604
2026-07-13 08:30:45,F,432,1114,1640,7604
2026-07-13 08:30:45,E,295,1050,1640,7604
2026-07-13 08:30:45,A,266,2959,1640,7604
2026-07-13 08:30:45,C,600,1448,1640,7604
2026-07-13 08:34:26,B,48,1032,1690,7554
2026-07-13 08:34:26,F,449,1097,1690,7554
2026-07-13 08:34:26,E,301,1044,1690,7554
2026-07-13 08:34:26,A,280,2945,1690,7554
2026-07-13 08:34:26,C,612,1436,1690,7554
2026-07-13 09:00:49,B,110,970,2421,6823
